This row won't be in actual table. For DEV only. Contains information about value type,"Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, Percent","Number, USD",Plain Number,"Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, USD","Number, Percent","Number, Percent"
Month,Accrual Revenue (From QBO),Accrual income (From Jira),Cash income,Sales commissions,COGS,Gross Profit,"Gross Margin, %",Overhead,"Production Team, FTE",Overhead by FTE,"Net Margin before tax, $","Net Margin before tax, $
(From Jira)","Net Margin(cash), $",Income Tax,Dividends to be paid,Paid dividends,Emergency fund to be saved,Emergency fund - saved,"Dividends, %",Emergency fund
1,100.11,$200.11,473.61,0,$122.00,25.00,12.49%,16.00,14,1.12,-$37.89,$62.11,$335.61,0,$50.34,$100.00,$285.27,$235.61,15%,85%
2,100.12,$200.12,473.61,0,$122.00,25.00,12.49%,16.00,16,0.99,-$37.88,$62.12,$335.61,0,$50.34,$110.00,$285.27,$225.61,,
3,100.13,$200.13,473.61,0,$122.00,25.00,12.49%,16.00,17,0.96,-$37.87,$62.13,$335.61,0,$50.34,$120.00,$285.27,$215.61,,
4,100.14,$200.14,473.61,0,$122.00,25.00,12.49%,16.00,17,0.96,-$37.86,$62.14,$335.61,0,$50.34,$130.00,$285.27,$205.61,,
5,100.15,$200.15,473.61,0,$122.00,25.00,12.49%,16.00,16,1.00,-$37.85,$62.15,$335.61,0,$50.34,$140.00,$285.27,$195.61,,
6,100.16,$200.16,473.61,0,$122.00,25.00,12.49%,16.00,16,0.98,-$37.84,$62.16,$335.61,0,$50.34,$150.00,$285.27,$185.61,,
7,100.17,$200.17,473.61,0,$122.00,25.00,12.49%,16.00,17,0.95,-$37.83,$62.17,$335.61,0,$50.34,$160.00,$285.27,$175.61,,
8,100.18,$200.18,473.61,0,$122.00,25.00,12.49%,16.00,17,0.94,-$37.82,$62.18,$335.61,0,$50.34,$170.00,$285.27,$165.61,,
9,100.19,$200.19,473.61,0,$122.00,25.00,12.49%,16.00,16,0.97,-$37.81,$62.19,$335.61,0,$50.34,$180.00,$285.27,$155.61,,
10,100.2,$200.20,473.61,0,$122.00,25.00,12.49%,16.00,16,1.01,-$37.80,$62.20,$335.61,0,$50.34,$190.00,$285.27,$145.61,,
11,100.21,$200.21,473.61,0,$122.00,25.00,12.49%,16.00,14,1.16,-$37.79,$62.21,$335.61,0,$50.34,$200.00,$285.27,$135.61,,
12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,1101.76,"$2,201.76",5209.71,-,"$1,342.00",275.00,-,176.00,-,-,-$416.24,$683.76,"$3,691.71",0,$553.76,"$1,650.00","$3,137.95","$2,041.71",,